package,count,percentage,rank,cumulative_percentage,percentage_display
qiskit,5437,22.31,1,22.31,22.31%
qiskit-aer,5138,21.08,2,43.39,21.08%
cirq,2390,9.81,3,53.2,9.81%
qutip,1751,7.18,4,60.38,7.18%
amazon-braket-sdk,1528,6.27,5,66.65,6.27%
pennylane,1475,6.05,6,72.7,6.05%
q#,1300,5.33,7,78.03,5.33%
cirq-core,1006,4.13,8,82.16,4.13%
openfermion,985,4.04,9,86.2,4.04%
pyquil,610,2.5,10,88.7,2.50%
openqasm3,565,2.32,11,91.02,2.32%
quest,537,2.2,12,93.22,2.20%
IBMQuantumExperience,533,2.19,13,95.41,2.19%
qiskit-terra,528,2.17,14,97.58,2.17%
qiskit-aqua,499,2.05,15,99.63,2.05%
projectq,492,2.02,16,101.64999999999999,2.02%
dwave-ocean-sdk,432,1.77,17,103.41999999999999,1.77%
qcodes,361,1.48,18,104.89999999999999,1.48%
azure-quantum,359,1.47,19,106.36999999999999,1.47%
quil,350,1.44,20,107.80999999999999,1.44%
qcs-sdk-python,350,1.44,21,109.24999999999999,1.44%
quimb,342,1.4,22,110.64999999999999,1.40%
qpp,337,1.38,23,112.02999999999999,1.38%
qulacs,328,1.35,24,113.37999999999998,1.35%
qiskit-nature,327,1.34,25,114.71999999999998,1.34%
pyzx,308,1.26,26,115.97999999999999,1.26%
dwave-system,291,1.19,27,117.16999999999999,1.19%
qiskit-ignis,271,1.11,28,118.27999999999999,1.11%
strawberryfields,252,1.03,29,119.30999999999999,1.03%
quantum-xir,231,0.95,30,120.25999999999999,0.95%
torchquantum,213,0.87,31,121.13,0.87%
qcompute,210,0.86,32,121.99,0.86%
stim,198,0.81,33,122.8,0.81%
Yao,196,0.8,34,123.6,0.80%
openqasm,184,0.75,35,124.35,0.75%
