repo_name,num_commits,num_months,commit_frequency,max_days_between_commits,avg_days_between_commits,num_unique_authors,commit_frequency_extra,avg_days_between_commits_extra,num_commits_extra,num_unique_authors_extra,num_months_extra,maintenance_category
0tt3r/QuaC,6.152732695,2.495956486,2.634341351,2879,1.796612426,1.386294361,12.93413174,5.029188507,469,3,11.13333333,High maintenance
BBN-Q/QGL.jl,5.204006687,0.693147181,2.833213344,2875,0.873543964,0.693147181,16,1.395384986,181,1,1,High maintenance
BBN-Q/Quince,5.111987788,1.252762968,0.587786665,2893,1.706041805,1.098612289,0.8,4.507120023,165,2,2.5,High maintenance
BBN-Q/RandomQuantum.jl,4.060443011,0.693147181,2.079441542,3315,3.631558019,1.098612289,7,36.77161971,57,2,1,Low maintenance
BBN-Q/pyqgl2,7.141245122,0.693147181,1.386294361,3248,0.88579858,0.693147181,3,1.424920112,1262,1,1,High maintenance
BOHRTECHNOLOGY/quantum_tsp,3.36729583,2.251291799,1.309921382,2165,2.843710009,1.386294361,2.705882353,16.17938312,28,3,8.5,High maintenance
DEBARGHYA4469/quantum-compiler,3.218875825,0.78845736,3.044522438,2301,0.889857475,0.693147181,20,1.434782609,24,1,1.2,High maintenance
FX31337/FX31337,2.302585093,0.693147181,2.302585093,2334,0.318453731,0.693147181,9,0.375,9,1,1,Low maintenance
JustinStoddard/Quantum-Computing,0.693147181,0.693147181,0.693147181,2364,7.768533301,0.693147181,1,2364,1,1,1,Low maintenance
LSaldyt/Qurry,5.463831805,1.84582669,3.038552271,2152,2.309908157,0.693147181,19.875,9.07349943,235,1,5.333333333,High maintenance
Michaelvll/myQShor,2.772588722,1.575536361,1.479626301,2169,2.453874541,0.693147181,3.391304348,10.63333333,15,1,3.833333333,Low maintenance
Mowstyl/QSimov,5.429345629,1.064710737,3.515465475,2176,2.025744592,1.386294361,32.63157895,6.581754156,227,3,1.9,High maintenance
ORNL-QCI/xacc-dwave,4.060443011,2.132192107,1.642950749,2564,2.024370731,1.098612289,4.170403587,6.571345029,57,2,7.433333333,High maintenance
ORNL-QCI/xacc-projectq,2.995732274,1.435084525,1.490091155,2604,2.065529426,1.098612289,3.4375,6.889473684,19,2,3.2,High maintenance
ORNL-QCI/xacc-rigetti,4.430816799,2.495956486,1.76649284,2507,1.967729399,1.098612289,4.850299401,6.154413216,83,2,11.13333333,High maintenance
ORNL-QCI/xacc-vqe-bayesopt,2.397895273,1.763588592,1.12134054,2218,2.820055259,1.791759469,2.068965517,15.77777778,10,5,4.833333333,High maintenance
ORNL-QCI/xacc-vqe-fcidump,1.791759469,0.693147181,1.791759469,2360,0.693147181,0.693147181,5,1,5,1,1,Low maintenance
OriginQ/QPanda-2,6.161207322,1.902107526,3.767706849,2175,1.466536315,2.079441542,42.28070175,3.33419682,473,7,5.7,High maintenance
OxfordIonTrapGroup/oitg,5.241747015,0.693147181,2.833213344,2868,2.503536394,1.098612289,16,11.22565233,188,2,1,High maintenance
ProjectQ-Framework/FermiLib,4.787491743,0.693147181,0.693147181,2571,3.120099759,0.693147181,1,21.64863894,119,1,1,Low maintenance
QCHackers/jquil,2.772588722,0.693147181,2.772588722,2298,0.99852883,0.693147181,15,1.714285714,15,1,1,Low maintenance
QCT-IQC/qpp,7.96241568,2.515004681,2.671414609,3606,0.549176899,0.693147181,13.46041056,0.731826963,2870,1,11.36666667,High maintenance
QISKit/qiskit-tutorial,7.303843225,2.567510178,3.779583221,2502,0.784660885,4.025351691,42.79778393,1.191663589,1485,55,12.03333333,High maintenance
QInfer/python-qinfer,6.825460036,2.108190955,1.787911831,4331,1.610029384,1.386294361,4.976958525,4.002958232,920,3,7.233333333,High maintenance
Qiskit-Extensions/qiskit-ibm-experiment,7.017506143,0.693147181,2.944438979,2140,0.912690866,1.098612289,18,1.491016515,1115,2,1,High maintenance
Qiskit/qiskit-aer,7.448333861,1.802809305,4.074634036,2141,0.686199406,2.079441542,57.82894737,0.986152611,1716,7,5.066666667,High maintenance
Qiskit/qiskit-aqua,8.405143688,2.120263536,5.483664644,2137,0.1382551,3.583518938,239.7272727,0.148268436,4469,35,7.333333333,High maintenance
Qiskit/qiskit-ibm-runtime,7.545918151,0.693147181,2.944438979,2140,0.573507018,1.098612289,18,0.774479282,1892,2,1,High maintenance
Qiskit/qiskit-js,5.877735782,2.204604685,2.929980896,2535,0.95348617,1.609437912,17.72727273,1.594739614,356,4,8.066666667,High maintenance
