repository,issue_count,comment_count,unique_users,open_issues,first_issue,last_issue
artiste-qb-net/Quantum_Edward,11,0,1,11,2018-05-09,2018-07-15
tonybruguier/strawberryfields,14,8,1,6,2022-02-16,2023-05-23
dberthault/qoqo_qryd,1,0,1,0,2024-10-21,2024-10-21
CQCL/pytket-phir,249,101,12,7,2023-09-27,2024-10-29
beckykd/qiskit-ibm-runtime,1,0,1,0,2023-02-14,2023-02-14
dwavesystems/dwave-ocean-sdk,304,370,54,28,2018-05-11,2024-10-03
fs1132429/qiskit-terra,24,31,3,5,2022-04-13,2023-03-28
anndero/qiskit-terra,1,0,1,0,2020-01-13,2020-01-13
fridalien/QAOA,3,0,1,0,2024-06-21,2024-06-26
madcpf/ReCirq,1,0,1,0,2021-10-05,2021-10-05
smburdick/qBraid,1,0,1,0,2024-01-19,2024-01-19
1ucian0/tweedledum,1,0,1,1,2021-02-18,2021-02-18
nunofernandes-plight/q.js,1,0,1,1,2021-02-20,2021-02-20
peiyi1/nassc_code,1,2,1,0,2023-09-08,2023-09-08
discopy/discopy,283,295,44,39,2019-12-11,2024-10-29
marblejenka/sawatabi,12,0,1,0,2021-02-12,2021-02-25
JRetza/OpenFermion,7,2,2,3,2022-08-23,2023-08-02
MarzioVallero/qufi,2,0,1,0,2022-05-02,2024-02-29
mhlr/dimod,4,2,2,2,2021-09-13,2022-03-11
h-oll/QuNetSim,21,9,1,12,2021-01-07,2022-08-23
dbolt/amazon-braket-sdk-python,1,0,1,0,2021-06-11,2021-06-11
nunofernandes-plight/pennylane,1,0,1,1,2021-02-20,2021-02-20
Aaron-Robertson/mitiq,1,0,1,0,2021-04-02,2021-04-02
uJhin/QuantumKatas,1,0,1,1,2022-04-20,2022-04-20
Chibikuri/qwopt,15,2,2,10,2020-01-05,2023-02-16
godspeed5/qiskit-terra,1,0,1,0,2020-10-23,2020-10-23
qi-rub/Quirky,1,1,1,0,2021-10-11,2021-10-11
HQSquantumsimulations/qoqo-for-braket,31,1,5,1,2023-06-05,2024-08-30
stefan-woerner/qiskit-tutorials,26,0,3,0,2018-12-17,2020-07-16
dendisuhubdy/openqasm,1,0,1,1,2019-12-09,2019-12-09
Davidelanz/quantum-robot,38,25,6,10,2021-01-17,2023-08-30
GaryHalo/quantum,12,9,1,3,2021-05-21,2023-03-25
scqubits/scqubits,251,528,79,11,2016-05-09,2024-10-24
dwavesystems/dwave_embedding_utilities,17,21,7,4,2017-11-22,2020-10-26
lanl/c2dwave,1,1,2,0,2018-11-29,2018-11-29
nunofernandes-plight/aqua,1,0,1,1,2021-02-20,2021-02-20
ismaelfaro/qiskit-sdk-py,2,1,3,0,2017-09-08,2017-09-12
DiCarloLab-Delft/Qcodes,3,2,4,1,2017-05-19,2018-02-15
unitaryfund/pennylane-qrack,26,41,9,3,2023-02-14,2024-10-29
yardstiq/quantum-benchmarks,54,126,21,11,2019-07-16,2022-04-05
DarkStarStrix/Quantum-,1,0,1,1,2024-09-07,2024-09-07
Morcu/qiskit-braket-plugin,1,0,1,0,2022-03-15,2022-03-15
boschmitt/qiskit-terra,20,26,2,5,2022-04-14,2023-03-06
faraimazh/qiskit-terra,20,14,2,5,2020-02-20,2023-03-06
purva-thakre/mitiq,333,942,5,11,2021-03-16,2024-10-22
learnqc/code_plus,2,0,2,1,2024-05-13,2024-09-02
hartytp/artiq,262,0,2,0,2022-06-18,2024-10-28
harrysha1029/cs269-final-project,1,0,1,1,2022-06-21,2022-06-21
danlkv/qtree,1,0,1,1,2020-12-18,2020-12-18
uJhin/QuNetSim,1,0,1,1,2022-06-15,2022-06-15
openql-org/QuEST,1,0,1,0,2020-09-06,2020-09-06
BBN-Q/Qlab,101,138,14,7,2012-02-03,2020-02-24
ShuxiangCao/LeeQ,6,0,2,0,2024-03-24,2024-08-29
isequeir/Qcodes,3,0,1,0,2022-01-09,2022-01-09
karolpezet/QuantumOptics.jl,4,0,2,1,2018-07-13,2023-08-11
FujiiLabCollaboration/MNISQ-quantum-circuit-dataset,6,0,2,0,2023-06-12,2023-06-26
mlodi-hqs/qoqo,2,0,1,0,2022-07-29,2022-10-13
undeadinu/Cirq,1,0,1,1,2019-01-12,2019-01-12
omarcostahamido/qiskit-js,4,0,1,0,2019-04-23,2019-05-19
wilfried-huss/qiskit-aqt-provider,7,1,1,7,2021-06-24,2021-07-01
arthurostrauss/Quantum_Optimal_Control,14,8,3,1,2023-12-15,2024-08-21
seeqc/qiskit-metal,1,0,1,0,2021-04-03,2021-04-03
andrewpalumbo/mahout,4,9,3,0,2014-09-26,2019-07-01
c12qe/c12-callisto-clients,9,0,3,1,2023-05-29,2024-10-08
Qubithub/Qinterpreter,1,0,1,1,2024-09-04,2024-09-04
boschmitt/tweedledum,186,84,39,22,2018-08-07,2024-02-04
qguyk/py-qua-tools,2,1,2,0,2021-11-29,2021-11-29
liangosc/Qcodes,352,343,1,10,2020-08-14,2023-01-24
gate42qc/em-pyquil,3,0,1,3,2021-06-18,2022-12-08
ChrisRackauckas/QuantumOptics.jl,1,0,1,0,2018-01-11,2018-01-11
stefan-woerner/qiskit-aer,3,0,1,0,2019-05-22,2020-06-22
verult/quantum,1,1,1,0,2021-02-12,2021-02-12
Alqor-UG/qiskit-cold-atom,1,0,1,0,2024-01-09,2024-01-09
xabomon/OpenFermion,3,0,1,0,2019-05-13,2019-06-27
mwalthqs/qoqo,1,0,1,0,2021-08-03,2021-08-03
QE-Lab/OpenQL,515,990,47,50,2017-04-19,2024-09-03
Qiskit/qiskit,13287,38209,1643,1051,2017-03-06,2024-10-29
fretchen/qiskit-cold-atom,2,0,2,0,2021-12-03,2021-12-03
tcNickolas/quantum-programming-in-depth,1,1,2,1,2024-04-17,2024-04-17
sergiobat/quantum-1,1,0,1,1,2022-02-03,2022-02-03
Infleqtion/client-superstaq,1090,1402,44,51,2021-08-02,2024-10-29
uJhin/qibo,1,0,1,1,2022-06-17,2022-06-17
qiboteam/qibojit,194,673,19,9,2021-04-25,2024-10-28
meeg/qick,1,0,1,0,2022-01-06,2022-01-06
johannesjmeyer/pennylane,2,0,2,0,2021-03-27,2021-06-16
qpic/qpic,15,53,19,5,2016-04-21,2024-06-27
nunofernandes-plight/discopy,1,0,1,1,2021-02-20,2021-02-20
uJhin/grove,1,0,1,1,2022-06-21,2022-06-21
joe1gi/Qcodes,1,0,1,0,2019-02-05,2019-02-05
mkhsu/QuantumKatas,1,0,1,0,2019-04-30,2019-04-30
95-martin-orion/Cirq,1,2,1,0,2021-03-09,2021-03-09
atilag/qiskit-aer,2,0,2,1,2020-04-13,2020-04-23
NeuralDreamResearch/DigitalSoul,3,0,1,0,2024-03-18,2024-03-20
mmvandieren/cuda-quantum,1,0,1,0,2024-05-13,2024-05-13
csookim/qibo_cskim,31,56,5,7,2024-07-08,2024-08-06
seangal2/qick,1,0,1,1,2024-10-21,2024-10-21
nkanazawa1989/qiskit-ignis,18,4,2,1,2020-10-28,2021-02-11
DavideFrr/qiskit-terra,1,0,1,0,2021-10-04,2021-10-04
fedroy/c3,1,0,1,0,2021-03-25,2021-03-25
Musa-Sina-Ertugrul/qiskit-experiments,1,0,1,0,2024-01-09,2024-01-09
PennyLaneAI/pennylane-sf,151,223,34,12,2018-10-11,2023-12-18
occheung/artiq,2,0,1,0,2021-01-05,2021-01-05
tehruhn/qutip,1,0,1,0,2020-01-06,2020-01-06
uJhin/StationQ-Liquid,1,0,1,1,2022-07-16,2022-07-16
rigetticomputing/grove,225,285,74,50,2016-12-23,2021-12-02
notvicent3/quantum,2,0,1,2,2023-11-15,2023-11-15
shaswata56/Cirq,1,0,1,0,2020-09-16,2020-09-16
virajvchaudhari/amazon-braket-examples,3,0,1,1,2022-07-07,2023-02-14
merav-aharoni/qiskit-experiments,2,4,2,0,2021-08-10,2022-05-26
Davidvondollen/quantum-automl-private,2,0,1,0,2024-02-24,2024-02-24
soloinovator/Cirq,108,0,3,72,2022-04-02,2024-10-19
abhobe/wrelks-quirk,1,0,1,1,2022-01-23,2022-01-23
DarkStarStrix/qutip,1,0,1,1,2024-09-07,2024-09-07
alvarobyrne/Quirk,1,0,1,1,2021-07-04,2021-07-04
conta877/OpenFermion,1,0,1,0,2018-01-25,2018-01-25
williamlisci/quantum-1,1,0,1,1,2021-05-21,2021-05-21
drew-parsons/qutip,1,0,1,0,2021-02-24,2021-02-24
stefanhannie/minorminer,2,0,1,0,2020-01-16,2020-03-09
yjt98765/qiskit-terra,19,25,2,5,2022-05-25,2023-03-06
qua-platform/quam,80,38,12,11,2023-09-25,2024-10-25
artificial-brain/quantumcat,81,1,7,3,2021-04-11,2024-05-09
pedrorrivero/pyproject-qiskit,6,1,3,0,2023-07-18,2024-01-09
uJhin/qtt,1,0,1,1,2022-07-12,2022-07-12
mkeshita/quilc,1,0,1,1,2022-03-29,2022-03-29
QE-Lab/dqcsim-cqasm,1,0,1,0,2020-01-30,2020-01-30
qutech-lab/qupulse,2,3,2,1,2022-05-06,2023-06-22
GateBuilder/Qcodes,1,0,1,0,2020-02-06,2020-02-06
PinkDiamond1/Cirq,1,0,1,1,2023-03-05,2023-03-05
mkeshita/Yao.jl,1,0,1,1,2022-03-29,2022-03-29
hamza-boudouche/NYUAD-2022,3,0,2,0,2022-03-31,2022-04-01
TerraSolstice/pennylane,1,0,1,1,2021-09-03,2021-09-03
karalekas/Cirq,1,1,1,1,2020-07-24,2020-07-24
ikkoham/qiskit-terra,79,64,7,2,2020-12-15,2023-07-28
XanaduAI/blackbird,54,99,16,5,2019-04-01,2023-03-06
gabrieleagl/qiskit-tutorials,1,0,1,0,2021-05-29,2021-05-29
zevunderwood/shor,1,0,1,1,2021-02-06,2021-02-06
xinwang1/Quantum,1,0,1,0,2020-09-13,2020-09-13
tencent-quantum-lab/tensorcircuit,206,476,46,21,2022-05-19,2024-10-09
Vokhzlod/QAOA,1,0,1,0,2023-12-20,2023-12-20
mileschen360/tnqvm,6,0,1,0,2017-07-28,2017-11-05
atilag/qiskit-terra,4,1,3,0,2017-08-18,2017-12-01
valegogu/amazon-braket-sdk-python,5,0,1,0,2022-05-16,2022-05-27
mac01021/pyquil,1,1,2,1,2024-02-08,2024-02-08
PalomaD1/lightwood,1,0,1,1,2021-10-15,2021-10-15
Mandrenkov/pennylane,659,0,1,659,2022-04-15,2024-10-29
LFL-Lab/SQuADDS,24,9,7,2,2023-12-24,2024-09-23
jagandecapri/pyEPR,1,0,1,0,2023-10-05,2023-10-05
ckissane/mitiq,2,0,1,0,2021-04-20,2021-04-29
sjezouin/pyEPR,1,0,1,0,2020-11-12,2020-11-12
hashberg-io/pauliopt,32,40,11,11,2021-02-02,2024-07-28
gwroblew/Quantum-Computing-Playground,7,4,8,3,2014-07-13,2023-06-20
m-labs/artiq,2601,12366,206,195,2014-11-05,2024-10-24
DEBARGHYA4469/quantum-compiler,2,0,2,2,2021-04-14,2024-09-04
tbcdebug/OLSQ,2,3,3,0,2021-01-11,2021-05-29
mindspore-ai/mindquantum,28,45,6,4,2022-06-13,2024-07-22
davemc84/Cirq,1,0,1,1,2019-05-02,2019-05-02
paulineollitrault/qiskit-ignis,2,0,1,0,2019-11-18,2021-09-06
n-ejima/qiskit-terra,1,1,2,0,2022-12-02,2022-12-02
jpaykin/QWIRE,12,12,10,1,2018-08-31,2023-12-01
uJhin/pennylane-qulacs,1,0,1,1,2022-06-14,2022-06-14
teaguetomesh/torchquantum,2,0,1,1,2023-09-01,2024-03-14
anpfeife/QuantumKatas,2,0,1,1,2020-07-29,2020-07-29
kotarotanahashi/dwave-ocean-sdk,2,0,1,2,2022-01-07,2022-01-07
ornl-qci/xacc-vqe,38,16,5,11,2017-08-08,2019-06-07
nonhermitian/qiskit-aer,7,4,4,0,2019-03-12,2019-09-16
HQSquantumsimulations/qollage,31,19,3,2,2024-05-15,2024-10-18
anushkrishnav/pauliopt,1,0,1,1,2023-05-26,2023-05-26
eggerdj/qiskit-cold-atom,1,0,1,0,2023-03-10,2023-03-10
aviggiano/qcl,2,3,3,1,2017-12-21,2018-01-13
drakfangg/QuantumComputing,1,0,1,0,2020-10-28,2020-10-28
pau557/dimod,1,0,1,0,2021-03-04,2021-03-04
qudoor/qutrunk,3,0,2,2,2023-01-10,2023-12-18
Ashutosh-Mishra2/c3,3,0,2,0,2022-05-13,2024-01-10
pmldrmota/artiq,1,0,1,0,2021-01-17,2021-01-17
XanaduAI/xir,26,26,11,1,2021-10-21,2023-05-29
emartinez/Qcodes,159,144,1,15,2022-01-06,2023-02-27
HQSquantumsimulations/qoqo_aqt,172,119,9,8,2021-07-12,2024-09-23
cjcarey/Cirq,1,0,1,1,2019-09-26,2019-09-26
adgt/pyQuirk,9,2,4,1,2020-12-17,2022-05-19
taalexander/openqasm-1,1,1,1,0,2020-11-17,2020-11-17
ewinston/qiskit,5,7,4,0,2018-06-14,2023-06-05
rathishcholarajan/qiskit-terra,23,32,2,5,2022-03-29,2023-03-06
rochisha0/qiskit-terra,1,0,1,0,2020-07-06,2020-07-06
OxIonics/m-labs-artiq,266,0,2,0,2022-06-18,2024-10-28
robertodr/Stim,1,0,1,1,2023-09-21,2023-09-21
MartinSandeCosta/qutip,1,0,1,0,2020-04-01,2020-04-01
delight1019/QuantumKatas,1,0,1,0,2022-10-13,2022-10-13
KOSASIH/pi-nexus-autonomous-banking-network,1836,1994,13,1147,2024-05-09,2024-10-20
Quantomatic/pyzx,271,632,91,38,2018-07-17,2024-09-12
unitaryfund/qrack,1016,1157,16,7,2018-02-03,2024-08-30
bellert/minorminer,2,0,1,0,2018-06-14,2018-06-14
VandersypenQutech/Qcodes,327,309,7,15,2016-11-11,2023-03-08
anomius/Tangelo,1,0,1,1,2024-06-06,2024-06-06
jaeyoo/quantum,21,10,3,0,2023-03-20,2023-05-14
denisefavila/quantum-cvrp,1,0,1,0,2021-09-15,2021-09-15
ZhaoyiLi-HekJukZaaiZyuJan/mitiq,1,0,1,0,2022-04-25,2022-04-25
gilbertalgordo/Cirq,13,11,2,2,2024-03-20,2024-06-18
epiqc/ScaffCC,48,122,32,12,2016-07-25,2021-09-28
OriginQ/QPanda-2,240,74,53,14,2018-06-06,2024-08-26
wedataintelligence/intel-qs,9,0,2,9,2021-10-01,2023-06-16
jwoehr/qisjob,31,66,3,3,2021-01-21,2023-09-01
rmcgurrin/PyQLab,1,0,1,0,2015-10-26,2015-10-26
wshanks/pyEPR,1,0,1,1,2022-01-10,2022-01-10
lucifer1004/QuantumKatas,2,0,2,1,2020-06-15,2023-03-24
jimcristofono/QuantumKatas,3,0,1,0,2019-06-04,2019-10-24
WrathfulSpatula/ProjectQ,7,4,2,0,2018-11-10,2019-01-27
neuralsorcerer/qiskit,1,0,1,1,2024-04-30,2024-04-30
stealthzerocool/QuantumKatas,1,0,1,0,2021-01-26,2021-01-26
ohtu2021-kvantti/WebMark,162,158,9,6,2021-01-23,2021-05-02
elmandouh/mitiq,2,0,2,0,2021-01-06,2021-03-26
HQSquantumsimulations/qoqo_iqm,86,42,4,6,2023-03-11,2024-10-10
nikhil-co/QU_Cats_QRISE2024,2,0,2,0,2024-04-13,2024-09-05
GLanDrive/dwave-system,4,1,3,1,2022-01-03,2024-02-04
vtomole/mitiq,1,1,2,0,2022-07-18,2022-07-18
perlinm/Cirq,1,0,1,0,2022-01-25,2022-01-25
pdc-quantum/qiskit-tutorial,30,0,1,0,2018-07-19,2019-10-27
MetcalfeTom/qiskit-aqua,4,0,1,0,2020-05-12,2020-05-28
omarcostahamido/qis_job,1,0,1,0,2021-01-23,2021-01-23
yintaophy/quantum-fog,2,0,1,0,2017-02-01,2017-10-13
burgholzer/NYUAD-2022,16,2,1,14,2023-08-10,2023-10-25
IamAbhinav03/pennylane,3,0,2,0,2021-05-08,2021-05-18
quantumlib/Stim,848,589,100,46,2021-02-19,2024-10-29
MA0R/qiskit-tutorial,1,0,1,0,2018-11-23,2018-11-23
qiskit-community/prototype-zne,65,21,16,17,2022-10-19,2024-08-21
AriaKilmorev/qiskit-community-tutorials,2,0,1,1,2023-08-28,2023-08-29
dstrain115/Cirq-1,1,0,1,0,2024-07-24,2024-07-24
vavilon/Python3,119,64,1,55,2019-10-21,2022-12-26
Chris-Du/ec601_quantum_photonics,1,0,1,0,2021-12-16,2021-12-16
zachschoenfeld33/openqasm,3,0,3,0,2021-01-12,2021-06-08
zapatacomputing/z-quantum-core,495,298,35,3,2020-04-16,2022-07-25
cnxtech/dwave-neal,2,1,1,1,2022-04-30,2022-06-22
jamestiotio/Cirq,1,0,1,0,2023-12-02,2023-12-02
amazon-braket/amazon-braket-examples,634,783,80,29,2020-10-12,2024-10-28
yangguohao/PaddleQuantum,1,0,1,0,2021-10-14,2021-10-14
cnxtech/penaltymodel,3,1,1,2,2022-05-01,2023-07-06
baidu/Quanlse,2,4,3,2,2022-08-15,2024-05-12
TeamGraphix/graphix,227,666,30,35,2022-12-14,2024-10-19
AbdullahKazi500/graphix,1,0,1,1,2024-06-05,2024-06-05
sarvex/qiskit-optimization,2,0,2,1,2023-06-05,2024-09-03
tonivanhala/qiskit-on-iqm,1,1,1,0,2024-03-21,2024-03-21
shraggy/qiskit_surface_codes-1,2,0,1,0,2020-07-01,2020-07-07
sakibguy/qiskit-sdk-py,5,0,1,0,2021-04-02,2021-09-04
QLemma/qleet,13,15,4,2,2021-09-19,2023-03-15
bicycle315/qiskit-metal,1,0,1,0,2021-07-12,2021-07-12
qwqmlf/qwgc,17,4,4,10,2020-01-01,2024-04-14
dakk/dqpu,11,1,2,4,2024-05-15,2024-06-08
senecameeks/Cirq,1,0,1,0,2024-03-22,2024-03-22
qiskit/qiskit-ignis,609,1089,103,49,2018-12-11,2022-06-07
bopardikarsoham/qiskit-experiments,1,0,1,0,2022-08-03,2022-08-03
polyquantique/thewalrus,5,1,4,1,2022-02-01,2022-09-06
sitedata/mahout,1,1,2,1,2021-10-05,2021-10-05
bgkyer/qiskit-finance,1,1,2,1,2024-03-20,2024-03-20
uJhin/iqm-client,1,0,1,1,2022-06-23,2022-06-23
jamestiotio/quilc,1,0,1,0,2023-12-02,2023-12-02
uJhin/openqasm,1,0,1,1,2022-05-04,2022-05-04
joseppinilla/minorminer,1,0,1,0,2019-06-14,2019-06-14
NileshArnaiya/qiskit-tutorials,1,0,1,1,2024-04-18,2024-04-18
fcas/lightwood,6,0,1,6,2024-05-24,2024-08-20
rogercolbeck/QI,2,1,3,0,2021-01-29,2021-07-16
kingjobi/laboneq,7,0,2,0,2023-09-26,2023-10-23
HQSquantumsimulations/qoqo,600,452,11,7,2021-02-04,2024-10-17
yintaophy/qubiter,2,0,1,0,2017-10-13,2017-11-03
zapatacomputing/z-quantum-qaoa,102,54,16,0,2020-04-30,2022-06-23
sanowl/cuda-quantum,4,11,1,1,2024-08-30,2024-10-17
lanl/pyQBTNs,1,0,1,0,2021-07-10,2021-07-10
qiskit-community/qiskit-braket-provider,189,419,66,7,2022-02-22,2024-08-14
nunofernandes-plight/staq,1,0,1,1,2021-02-20,2021-02-20
Amey-2002/GSoC_2022_QMLHEP,1,0,1,0,2022-08-09,2022-08-09
jeremiahdc23/scqubits_qps,1,0,1,0,2022-10-10,2022-10-10
vishalbelsare/lightwood,57,0,1,1,2021-04-04,2021-12-02
lanl-ansi/qc-applications,58,108,7,5,2024-02-20,2024-10-14
pdhoolia/qiskit,9,11,2,9,2024-10-23,2024-10-23
qiboteam/qibo,1494,4635,101,115,2020-02-18,2024-10-29
julien-bremont/Pulser,4,3,1,0,2021-04-30,2021-05-17
QuTech-Delft/QuIS,11,6,2,0,2024-03-13,2024-10-23
openqasm/oqpy,97,69,17,12,2022-09-20,2024-10-16
burgholzer/qiskit-nature,1,0,1,1,2024-09-03,2024-09-03
