period,new_repos,category,total_repos
2012-03-31,1,SDK/API,1
2012-06-30,1,SDK/API,2
2012-09-30,0,SDK/API,2
2012-12-31,1,SDK/API,3
2013-03-31,0,SDK/API,3
2013-06-30,0,SDK/API,3
2013-09-30,3,SDK/API,6
2013-12-31,2,SDK/API,8
2014-03-31,2,SDK/API,10
2014-06-30,30,SDK/API,40
2014-09-30,70,SDK/API,110
2014-12-31,55,SDK/API,165
2015-03-31,70,SDK/API,235
2015-06-30,84,SDK/API,319
2015-09-30,58,SDK/API,377
2015-12-31,53,SDK/API,430
2016-03-31,60,SDK/API,490
2016-06-30,72,SDK/API,562
2016-09-30,53,SDK/API,615
2016-12-31,59,SDK/API,674
2017-03-31,125,SDK/API,799
2017-06-30,120,SDK/API,919
2017-09-30,151,SDK/API,1070
2017-12-31,210,SDK/API,1280
2018-03-31,225,SDK/API,1505
2018-06-30,197,SDK/API,1702
2018-09-30,321,SDK/API,2023
2018-12-31,272,SDK/API,2295
2019-03-31,271,SDK/API,2566
2019-06-30,281,SDK/API,2847
2019-09-30,264,SDK/API,3111
2019-12-31,270,SDK/API,3381
2020-03-31,262,SDK/API,3643
2020-06-30,344,SDK/API,3987
2020-09-30,305,SDK/API,4292
2020-12-31,328,SDK/API,4620
2021-03-31,333,SDK/API,4953
2021-06-30,431,SDK/API,5384
2021-09-30,320,SDK/API,5704
2021-12-31,308,SDK/API,6012
2022-03-31,314,SDK/API,6326
2022-06-30,367,SDK/API,6693
2022-09-30,309,SDK/API,7002
2022-12-31,317,SDK/API,7319
2023-03-31,311,SDK/API,7630
2023-06-30,454,SDK/API,8084
2023-09-30,382,SDK/API,8466
2023-12-31,428,SDK/API,8894
2024-03-31,422,SDK/API,9316
2024-06-30,445,SDK/API,9761
2024-09-30,402,SDK/API,10163
2012-03-31,1,Quantum Simulation,1
2012-06-30,2,Quantum Simulation,3
2012-09-30,0,Quantum Simulation,3
2012-12-31,4,Quantum Simulation,7
2013-03-31,3,Quantum Simulation,10
2013-06-30,1,Quantum Simulation,11
2013-09-30,7,Quantum Simulation,18
2013-12-31,5,Quantum Simulation,23
2014-03-31,5,Quantum Simulation,28
2014-06-30,11,Quantum Simulation,39
2014-09-30,9,Quantum Simulation,48
2014-12-31,2,Quantum Simulation,50
2015-03-31,5,Quantum Simulation,55
2015-06-30,6,Quantum Simulation,61
2015-09-30,4,Quantum Simulation,65
2015-12-31,10,Quantum Simulation,75
2016-03-31,9,Quantum Simulation,84
2016-06-30,15,Quantum Simulation,99
2016-09-30,12,Quantum Simulation,111
2016-12-31,10,Quantum Simulation,121
2017-03-31,21,Quantum Simulation,142
2017-06-30,25,Quantum Simulation,167
2017-09-30,30,Quantum Simulation,197
2017-12-31,25,Quantum Simulation,222
2018-03-31,25,Quantum Simulation,247
2018-06-30,61,Quantum Simulation,308
2018-09-30,43,Quantum Simulation,351
2018-12-31,47,Quantum Simulation,398
2019-03-31,85,Quantum Simulation,483
2019-06-30,67,Quantum Simulation,550
2019-09-30,78,Quantum Simulation,628
2019-12-31,68,Quantum Simulation,696
2020-03-31,95,Quantum Simulation,791
2020-06-30,128,Quantum Simulation,919
2020-09-30,110,Quantum Simulation,1029
2020-12-31,110,Quantum Simulation,1139
2021-03-31,99,Quantum Simulation,1238
2021-06-30,110,Quantum Simulation,1348
2021-09-30,72,Quantum Simulation,1420
2021-12-31,107,Quantum Simulation,1527
2022-03-31,108,Quantum Simulation,1635
2022-06-30,161,Quantum Simulation,1796
2022-09-30,116,Quantum Simulation,1912
2022-12-31,111,Quantum Simulation,2023
2023-03-31,126,Quantum Simulation,2149
2023-06-30,137,Quantum Simulation,2286
2023-09-30,132,Quantum Simulation,2418
2023-12-31,110,Quantum Simulation,2528
2024-03-31,113,Quantum Simulation,2641
2024-06-30,135,Quantum Simulation,2776
2024-09-30,109,Quantum Simulation,2885
2012-09-30,1,Algorithm Implementation,1
2012-12-31,0,Algorithm Implementation,1
2013-03-31,0,Algorithm Implementation,1
2013-06-30,0,Algorithm Implementation,1
2013-09-30,0,Algorithm Implementation,1
2013-12-31,1,Algorithm Implementation,2
2014-03-31,1,Algorithm Implementation,3
2014-06-30,0,Algorithm Implementation,3
2014-09-30,0,Algorithm Implementation,3
2014-12-31,1,Algorithm Implementation,4
2015-03-31,0,Algorithm Implementation,4
2015-06-30,0,Algorithm Implementation,4
2015-09-30,1,Algorithm Implementation,5
2015-12-31,3,Algorithm Implementation,8
2016-03-31,2,Algorithm Implementation,10
2016-06-30,7,Algorithm Implementation,17
