period,total_repos
2012-01-29,6
2012-02-05,6
2012-02-12,6
2012-02-19,6
2012-02-26,6
2012-03-04,6
2012-03-11,6
2012-03-18,6
2012-03-25,6
2012-04-01,12
2012-04-08,24
2012-04-15,24
2012-04-22,24
2012-04-29,24
2012-05-06,30
2012-05-13,30
2012-05-20,30
2012-05-27,30
2012-06-03,30
2012-06-10,30
2012-06-17,30
2012-06-24,30
2012-07-01,30
2012-07-08,30
2012-07-15,30
2012-07-22,30
2012-07-29,30
2012-08-05,30
2012-08-12,30
2012-08-19,36
2012-08-26,36
2012-09-02,36
2012-09-09,36
2012-09-16,36
2012-09-23,36
2012-09-30,36
2012-10-07,36
2012-10-14,48
2012-10-21,48
2012-10-28,48
2012-11-04,48
2012-11-11,54
2012-11-18,54
2012-11-25,54
2012-12-02,54
2012-12-09,54
2012-12-16,60
2012-12-23,60
2012-12-30,60
2013-01-06,75
2013-01-13,75
2013-01-20,75
2013-01-27,75
2013-02-03,75
2013-02-10,75
2013-02-17,75
2013-02-24,75
2013-03-03,75
2013-03-10,75
2013-03-17,75
2013-03-24,81
2013-03-31,81
2013-04-07,81
2013-04-14,81
2013-04-21,81
2013-04-28,81
2013-05-05,81
2013-05-12,81
2013-05-19,87
2013-05-26,87
2013-06-02,87
2013-06-09,87
2013-06-16,87
2013-06-23,87
2013-06-30,87
2013-07-07,87
2013-07-14,87
2013-07-21,93
2013-07-28,93
2013-08-04,105
2013-08-11,111
2013-08-18,117
2013-08-25,117
2013-09-01,123
2013-09-08,141
2013-09-15,141
2013-09-22,147
2013-09-29,147
2013-10-06,153
2013-10-13,159
2013-10-20,159
2013-10-27,159
2013-11-03,165
2013-11-10,177
2013-11-17,183
2013-11-24,183
2013-12-01,189
2013-12-08,189
2013-12-15,195
2013-12-22,195
2013-12-29,195
2014-01-05,195
2014-01-12,195
2014-01-19,195
2014-01-26,195
2014-02-02,195
2014-02-09,195
2014-02-16,195
2014-02-23,201
2014-03-02,213
2014-03-09,225
2014-03-16,231
2014-03-23,243
2014-03-30,243
2014-04-06,243
2014-04-13,243
2014-04-20,243
2014-04-27,255
2014-05-04,261
2014-05-11,267
2014-05-18,279
2014-05-25,321
2014-06-01,381
2014-06-08,399
2014-06-15,435
2014-06-22,459
2014-06-29,483
2014-07-06,525
2014-07-13,555
2014-07-20,573
2014-07-27,609
2014-08-03,645
2014-08-10,693
2014-08-17,741
2014-08-24,777
2014-08-31,831
2014-09-07,867
2014-09-14,897
2014-09-21,915
2014-09-28,963
2014-10-05,990
2014-10-12,1014
2014-10-19,1032
2014-10-26,1044
2014-11-02,1092
2014-11-09,1122
2014-11-16,1134
2014-11-23,1164
2014-11-30,1170
2014-12-07,1215
2014-12-14,1275
2014-12-21,1293
2014-12-28,1317
2015-01-04,1347
2015-01-11,1377
2015-01-18,1407
2015-01-25,1461
2015-02-01,1512
2015-02-08,1554
2015-02-15,1578
2015-02-22,1620
2015-03-01,1647
2015-03-08,1671
2015-03-15,1710
2015-03-22,1734
2015-03-29,1764
2015-04-05,1806
2015-04-12,1854
2015-04-19,1914
2015-04-26,1956
2015-05-03,1998
2015-05-10,2046
2015-05-17,2070
2015-05-24,2106
2015-05-31,2154
2015-06-07,2208
2015-06-14,2274
2015-06-21,2304
2015-06-28,2334
2015-07-05,2352
2015-07-12,2388
2015-07-19,2424
2015-07-26,2454
2015-08-02,2466
2015-08-09,2508
2015-08-16,2526
2015-08-23,2544
2015-08-30,2565
2015-09-06,2583
2015-09-13,2625
2015-09-20,2673
2015-09-27,2703
2015-10-04,2763
2015-10-11,2799
2015-10-18,2835
2015-10-25,2859
2015-11-01,2913
2015-11-08,2937
2015-11-15,2967
2015-11-22,2985
2015-11-29,3021
2015-12-06,3039
2015-12-13,3084
2015-12-20,3096
2015-12-27,3120
2016-01-03,3138
2016-01-10,3162
2016-01-17,3180
2016-01-24,3288
2016-01-31,3363
2016-02-07,3369
2016-02-14,3387
2016-02-21,3393
2016-02-28,3411
2016-03-06,3429
2016-03-13,3495
2016-03-20,3519
2016-03-27,3549
2016-04-03,3591
2016-04-10,3633
2016-04-17,3651
2016-04-24,3747
2016-05-01,3765
2016-05-08,3831
2016-05-15,3921
2016-05-22,4011
2016-05-29,4089
2016-06-05,4134
2016-06-12,4176
2016-06-19,4212
2016-06-26,4254
2016-07-03,4272
2016-07-10,4308
2016-07-17,4410
2016-07-24,4434
