period,new_repos
2012-01-29,6
2012-02-05,0
2012-02-12,0
2012-02-19,0
2012-02-26,0
2012-03-04,0
2012-03-11,0
2012-03-18,0
2012-03-25,0
2012-04-01,6
2012-04-08,12
2012-04-15,0
2012-04-22,0
2012-04-29,0
2012-05-06,6
2012-05-13,0
2012-05-20,0
2012-05-27,0
2012-06-03,0
2012-06-10,0
2012-06-17,0
2012-06-24,0
2012-07-01,0
2012-07-08,0
2012-07-15,0
2012-07-22,0
2012-07-29,0
2012-08-05,0
2012-08-12,0
2012-08-19,6
2012-08-26,0
2012-09-02,0
2012-09-09,0
2012-09-16,0
2012-09-23,0
2012-09-30,0
2012-10-07,0
2012-10-14,12
2012-10-21,0
2012-10-28,0
2012-11-04,0
2012-11-11,6
2012-11-18,0
2012-11-25,0
2012-12-02,0
2012-12-09,0
2012-12-16,6
2012-12-23,0
2012-12-30,0
2013-01-06,15
2013-01-13,0
2013-01-20,0
2013-01-27,0
2013-02-03,0
2013-02-10,0
2013-02-17,0
2013-02-24,0
2013-03-03,0
2013-03-10,0
2013-03-17,0
2013-03-24,6
2013-03-31,0
2013-04-07,0
2013-04-14,0
2013-04-21,0
2013-04-28,0
2013-05-05,0
2013-05-12,0
2013-05-19,6
2013-05-26,0
2013-06-02,0
2013-06-09,0
2013-06-16,0
2013-06-23,0
2013-06-30,0
2013-07-07,0
2013-07-14,0
2013-07-21,6
2013-07-28,0
2013-08-04,12
2013-08-11,6
2013-08-18,6
2013-08-25,0
2013-09-01,6
2013-09-08,18
2013-09-15,0
2013-09-22,6
2013-09-29,0
2013-10-06,6
2013-10-13,6
2013-10-20,0
2013-10-27,0
2013-11-03,6
2013-11-10,12
2013-11-17,6
2013-11-24,0
2013-12-01,6
2013-12-08,0
2013-12-15,6
2013-12-22,0
2013-12-29,0
2014-01-05,0
2014-01-12,0
2014-01-19,0
2014-01-26,0
2014-02-02,0
2014-02-09,0
2014-02-16,0
2014-02-23,6
2014-03-02,12
2014-03-09,12
2014-03-16,6
2014-03-23,12
2014-03-30,0
2014-04-06,0
2014-04-13,0
2014-04-20,0
2014-04-27,12
2014-05-04,6
2014-05-11,6
2014-05-18,12
2014-05-25,42
2014-06-01,60
2014-06-08,18
2014-06-15,36
2014-06-22,24
2014-06-29,24
2014-07-06,42
2014-07-13,30
2014-07-20,18
2014-07-27,36
2014-08-03,36
2014-08-10,48
2014-08-17,48
2014-08-24,36
2014-08-31,54
2014-09-07,36
2014-09-14,30
2014-09-21,18
2014-09-28,48
2014-10-05,27
2014-10-12,24
2014-10-19,18
2014-10-26,12
2014-11-02,48
2014-11-09,30
2014-11-16,12
2014-11-23,30
2014-11-30,6
2014-12-07,45
2014-12-14,60
2014-12-21,18
2014-12-28,24
2015-01-04,30
2015-01-11,30
2015-01-18,30
2015-01-25,54
2015-02-01,51
2015-02-08,42
2015-02-15,24
2015-02-22,42
2015-03-01,27
2015-03-08,24
2015-03-15,39
2015-03-22,24
2015-03-29,30
2015-04-05,42
2015-04-12,48
2015-04-19,60
2015-04-26,42
2015-05-03,42
2015-05-10,48
2015-05-17,24
2015-05-24,36
2015-05-31,48
2015-06-07,54
2015-06-14,66
2015-06-21,30
2015-06-28,30
2015-07-05,18
2015-07-12,36
2015-07-19,36
2015-07-26,30
2015-08-02,12
2015-08-09,42
2015-08-16,18
2015-08-23,18
2015-08-30,21
2015-09-06,18
2015-09-13,42
2015-09-20,48
2015-09-27,30
2015-10-04,60
2015-10-11,36
2015-10-18,36
2015-10-25,24
2015-11-01,54
2015-11-08,24
2015-11-15,30
2015-11-22,18
2015-11-29,36
2015-12-06,18
2015-12-13,45
2015-12-20,12
2015-12-27,24
2016-01-03,18
2016-01-10,24
2016-01-17,18
2016-01-24,108
2016-01-31,75
2016-02-07,6
2016-02-14,18
2016-02-21,6
2016-02-28,18
2016-03-06,18
2016-03-13,66
2016-03-20,24
2016-03-27,30
