author,community_id
jrjohansson,4
nonhermitian,0
Ericgig,4
hodgestar,1
jakelishman,0
anubhavvardhan,4
ajgpitch,4
cgranade,4
pmenczel,4
AGaliciaMartinez,4
BoxiLi,4
tamakoshi2001,4
christian512,4
emilianomfortes,4
nathanshammah,4
gsuarezr,4
arnelg,4
markusbaden,4
stared,4
quantshah,1
Vutshi,4
kafischer,4
purva-thakre,4
nwlambert,4
rochisha0,2
dependabot[bot],4
sbisw002,4
mahdiaslanimk,4
trentfridey,1
maij,4
dkweiss31,4
eendebakpt,4
khnikhil,4
fhopfmueller,4
MartinSandeCosta,4
paniash,1
marekyggdrasil,4
gaurav-iiser,4
gadhvirushiraj,4
anna-naden,4
Yash-10,4
jfeist,4
PositroniumJS,4
spinolino,4
VolodyaCO,4
lklivingstone,4
albertomercurio,4
owenagnel,4
bcriger,4
pyukey,4
quantum-menace,4
Leo-am,4
vikas-chaudhary-2802,4
wrzadkow,4
awkwardPotato812,4
xspronken,4
DRA-chaos,4
HGSilveri,4
EmilianoG-byte,1
Canoming,4
theodotk,1
alexbrc,4
Zomtir,4
omnster,4
abhisekupadhyaya,4
HarshKhilawala,4
Lala5th,4
nquesada,1
ejthomas,1
pierreguilmin,4
Krastanov,4
jakobjakobson13,4
MrRobot2211,4
gecrooks,4
vtomole,4
Sola85,4
magzpavz,4
hristog,2
DnMGalan,4
Chasmiccoder,4
maederan201,4
bencbartlett,4
ElieGouzien,4
valanm22,4
obliviateandsurrender,1
kwyip,4
drodper,4
myzhang1029,4
SJUW,4
kiuthed,4
heeres,4
rganardi,4
Alexios-xi,4
avandeursen,4
jenjaminbones,4
phkx,4
ldes89150,4
IvanIsCoding,2
coroa,4
madphysicist,4
Phyks,4
mtreinish,0
goerz,4
Wikstahl,4
slavoutich,4
taw181,4
tgag17,1
swhalen,4
terrorfisch,4
bastikr,4
Sampreet,4
sameshl,4
SamWolski,4
sjgriffiths,4
Rajiv-B,4
rajathshetty20,4
AdriaanRol,4
WingCode,1
i2000s,4
xwu64,4
yarrriv,4
zhaouv,4
alan-nala,4
anonymousdouble,4
davidschlegel,4
dweigand,4
eliegenois,4
essence-of-waqf,4
ruffa,4
yulan-dacosta,4
yurivict,4
amitjamadagni,4
aagentile,4
anushkrishnav,1
tacruc,4
BOBO1997,4
CamilleLCal,4
cgohlke,4
Strilanc,4
drew-parsons,4
airikh,4
ThatAdamsGuy,4
javadnoorb,4
jevonlongdell,4
Erotemic,4
neago,4
jarthurgross,4
julianiacoponi,4
KosukeMizuno,4
LaurentAjdnik,4
IIAOPSW,4
marco-david,4
mlaguna10,4
Matt-Ord,4
obmatt1234,4
NithinRamu,4
peterkirton,4
pschindler,4
swernli,3
minestarks,3
billti,3
cesarzc,3
sezna,3
idavis,3
bamarsha,3
ScottCarda-MS,3
DmitryVasilevsky,3
tcNickolas,3
msoeken,3
orpuente-MS,3
SoniaLopezBravo,3
Manvi-Agrawal,3
filipw,3
devikamehra,3
jkingdon-ms,3
kuzminrobin,3
ivanbasov,3
ggridin,3
goshua13,3
WWhitedogi,3
microsoftopensource,3
moumita-halder,3
frtibble,3
JPark1023,3
eureka-cpu,3
nirajvenkat,3
v-philkane,3
colommar,3
viktorveis,3
Piwakk,3
m1c0l,3
quackduck,3
HopeAnnihilator,3
benburrill,3
ausbin,3
aarthims,3
josh146,1
albi3ro,1
co9olguy,1
cgogolin,1
antalszava,1
mariaschuld,1
timmysilv,1
dwierichs,1
rmoyard,1
mudit2812,1
AlbertMitjans,1
github-actions[bot],1
astralcai,1
smite,1
lillian542,1
eddddddy,1
trbromley,1
Jaybsoni,1
soranjh,1
ringo-but-quantum,1
Qottmann,1
PietropaoloFrisoni,1
vincentmr,1
glassnotes,1
KetpuntoG,1
johannesjmeyer,1
agran2018,1
anthayes92,1
mlxd,1
Shiro-Raven,1
dime10,1
isaacdevlugt,1
ankit27kh,1
willjmax,1
Gabriel-Bottrill,1
Lucaman99,4
thisac,1
AroosaIjaz,1
BorjaRequena,1
ddhawan11,1
DSGuala,1
ixfoduap,1
rashidnhm,1
austingmhuang,1
Chiffafox,1
Mandrenkov,1
andrijapau,1
frederikwilde,1
Tarun-Kumar07,1
riveSunder,1
AmintorDusko,1
angusjlowe,1
puzzleshark,1
zeyueN,1
AnuravModak,1
brownj85,1
MoritzWillmann,1
JerryChen97,1
wongwsvincent,1
AkashNarayanan,1
therooler,1
maliasadi,1
shukob,1
justinpickering,1
Alex-Preciado,1
ikurecic,1
gmlejarza,1
nahumsa,1
cvjjm,1
erick-xanadu,1
CatalinaAlbornoz,1
ingstra,1
Sinestro38,1
pratjz,1
ral9000,1
ryanhill1,1
charmerDark,1
kenya-sk,4
minhtriet,1
paul0403,1
doctorperceptron,1
nvitucci,1
meenu-kri,1
kshyatt-aws,1
hsim13372,4
speller26,1
ashishks0522,1
arshpreetsingh,1
alejomonbar,1
anonymousr007,4
rjain37,4
RohitMidha23,1
ryanlevy,4
zer0points,1
kessler-frost,1
SheepSeb,1
sergiomtzlosa,1
techwithshadab,4
multiphaseCFD,1
RenkeHuang,1
RodrigoAVargasHdz,1
Qi-Hu,1
PritishSehzpaul,1
Pratul-Saini,1
PrajwalBorkar,1
PabloAMC,1
Miru19,1
mauriceweber,1
maezyn,1
tobeyOguney,1
tal66,1
natestemen,1
l45k,1
jkanem,1
gianans,1
brs96,1
borbysh,1
babcockt18,1
avbhadw,1
YuNariai,1
duanyh12,1
tnemoz,1
tonmoy-b,1
soudy,1
schance995,1
Slimane33,1
MashAliK,1
ianmclean2011,1
greenstick,1
PhilipVinc,1
EuGig,1
S-Erik,1
ecboghiu,1
dariavh,1
DanielPolatajko,1
DanielNino27,1
chaeyeunpark,1
RubidgeCarrie,1
AndrewGardhouse,1
MaldoAlberto,1
amitjansc,1
AlaricCheng,1
aglitoiu,1
abhishekabhishek,1
12mB7693,1
mafemorris,1
manulpatel,1
majafranz,1
Newtech66,1
ludmilaasb,1
kylegodbey,1
kris524,1
komiamiko,1
kevinkayyy,1
king-p3nguin,1
kmyali,1
JustinWoodring,1
JuanGiraldo0212,1
JiahaoYao,1
JakeKitchen,1
jackyruth,1
jsmz97,1
ixime,1
israelferrazaraujo,1
eltociear,1
chriseclectic,2
atilag,2
hhorii,2
doichanj,2
yaelbh,2
vvilpas,2
merav-aharoni,0
ikkoham,2
DanPuzzuoli,2
hitomitak,0
itoko,2
jaygambetta,2
gadial,2
derwind,0
1ucian0,0
t-imamichi,2
wshanks,2
sfantao,0
garrison,2
arnaucasau,2
danbev,2
padraic-padraic,0
brandhsn,2
Cryoris,2
jlatone,2
kanejess,0
Eric-Arellano,2
cclauss,2
aromanro,0
jwoehr,2
ihincks,2
melechlapson,2
zachschoenfeld33,2
1tnguyen,0
SooluThomas,2
enum-class,0
RafeyIqbalRahman,2
derivation,2
or1426,0
MarcusGDaniels,0
MarcMaussner,0
cbjuan,2
jyu00,2
dcmckayibm,2
Patataman,0
yoshida-ryuhei,2
kurarrr,0
ibm-wakizaka,0
RolfHuisman,0
peendebak,0
padraignix,2
TerraVenil,0
namangup,0
MonitSharma,0
mikaelhaglund,0
mrossinek,2
mmcelaney,2
thesamesam,0
ShellyGarion,2
Siriapps,0
spencerking,0
tungbq,0
VicentePerezSoloviev,2
acastanedam,0
b63,0
eliotheinrich,0
fanizzamarco,0
notcruz,0
upsideon,2
adhishagc,0
aditya-giri,0
amirebrahimi,0
Aniruddha120,2
AnsahMohammad,0
carstenblank,0
ChriPiv,0
davidlearn,0
dakk,0
deji725,0
diego-plan9,2
divshacker,2
drewrisinger,4
ElHirad,0
ElePT,2
georgios-ts,2
HM0880,0
Innanov,0
jagunnels,0
SquidDev,0
kdk,2
chrisamirani,0
maddy-tod,2
manoelmarques,2
ewinston,2
chunfuchen,2
awcross1,2
woodsp-ibm,2
ismaelfaro,2
nkanazawa1989,2
lcapelluto,2
taalexander,2
enavarro51,2
delapuente,2
jesusprubio,2
qiskit-bot,2
alexanderivrii,2
levbishop,2
antoniomezzacapo,2
jlapeyre,2
kevinsung,4
abbycross,2
kevinhartman,2
Zoufalc,2
hushaohan,2
dongreenberg,2
stefan-woerner,2
eggerdj,2
TharrmashasthaPV,2
abdonrd,2
TsafrirA,2
raynelfss,2
HuangJunye,2
joesho112358,4
molar-volume,2
Guillermo-Mijares-Vilarino,2
javabster,2
a-matsuo,2
Randl,2
Matt-Stypulkoski,2
adjs,2
anedumla,2
adekusar-drl,2
IceKhan13,2
paulineollitrault,2
pedrorrivero,2
rraymondhp,2
max-reuter-2,2
NG-Glen,2
imaihal,2
nbronn,2
Nick-Singstock,2
pacomf,2
to24toro,2
kiszk,2
frankharkins,2
ecpeterson,2
epelaaez,4
eliarbel,2
Procatv,2
Anthony-Gandon,2
aeddins-ibm,2
Raghav-Bell,2
prakharb10,4
psschwei,2
TheGupta2012,2
dennis-liu-1,2
3yakuya,2
atharva-satpute,2
richardyoung00,2
smolinIBM,2
yjt98765,4
iuliazidaru,2
airwoodix,2
eddieschoute,2
diemilio,2
mergify[bot],2
Vismai-Khanderao,2
romainfd,2
paolob67,2
omarcostahamido,2
MozammilQ,2
henryzou50,2
gonzaarcr,2
fs1132429,2
adrinjalali,2
drholmie,2
attp,2
BryceFuller,2
caleb-johnson,2
charlesastaylor,2
ChihHanHuang,2
daimurat,2
desireevl,2
francabrera,2
renier,2
raulotaolea,2
QianJianhua1,2
liupibm,2
markjeveritt,2
MarcDrudis,2
mantcep,2
eembees,2
junnaka51,2
